Title,Description+UB:AF,Keywords,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Closure,Services,servicesnotoffered,ServiceAlert,AddressDetails,MainAlert,TimeAlert,Wheelchair,Type,Last updated,Initial,Holiday,URL
Townsville Garbutt Motor Vehicle Inspection Centre,"21-35 Leyland St Services: vehicle safety inspections,taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",,21-35 Leyland Street,Garbutt,4814,,PO Box 7466,Garbutt,4814,-19.27184284,146.7652171,13 23 90,(07) 4758 7500,,8:00,16:00,8:00,16:00,8:00,16:00,8:00,16:00,8:00,16:00,,,,,,"####Services offered at this location#### 
* pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass ","####Services not offered at this location#### 
* safety inspections for light vehicles and heavy vehicles up to 16 tonne GVM - these are performed at Approved Inspection Stations ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Motor Vehicle Inspection Centre,,t,,/transport/contacts/centres/view?title=Townsville Garbutt Motor Vehicle Inspection Centre
Tully QGAP,"46 Bryant Street:registration, boat licensing, pre-registration inspections","registration, boat licensing, pre-registration inspections",Tully Courthouse,46 Bryant Street,Tully,4854,,PO Box 229,Tully,4854,-17.936398,145.922921,(07) 4068 1065 or 13 23 90 (for practical driving test bookings),(07) 4068 3288,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
*  driver licensing
*  boat licensing
*  practical driver testing for all licence classes up to heavy rigid",,, Two doors up from Tully Police Station.,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (TMR lead),17/07/2018,t,,/transport/contacts/centres/view?title=Tully QGAP
Upper Coomera mobile customer service unit,NA,NA,NA,NA,NA,4209,NA,NA,NA,4209,-27.8497013,153.2957484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,"####Services offered at this location#### 
* registration of vehicles and vessels
*  driver licensing for cars, motorbikes, heavy vehicles and recreational vehicles
*  purchase an adult proof of age card
* pay a fine
* access industry licensing services
* ask questions about departmental services",NA,NA,NA,Please note: This is a mobile customer service centre that visits this location on selected dates. Please [check the schedule](/transport/contacts/mobile#SouthEastQueensland) before travelling here. ,NA,,Mobile customer centre,,u,,/transport/contacts/mobile#SouthEastQueensland
Wallangarra Police Station,"45 Merinda Street:driver licence, registration","driver licence, registration",,45 Merinda Street,Wallangarra,4383,,PO Box 16,Wallangarra,4383,-28.921134,151.931037,(07) 4684 3120,(07) 4684 3374,,,,8:00-12:00,,,,,,8:00-12:00,,,,,,,"####Services offered at this location#### 
* driver licensing
*  registration of vehicles and vessels",,,,,,,Queensland Police Station,,w,,/transport/contacts/centres/view?title=Wallangarra Police Station
Wandoan Police Station,"47 Royd Street:driver licence, practical driving tests","driver licence, practical driving tests",,47 Royd Street,Wandoan,4419,,47 Royd Street,Wandoan,4419,-26.125031,149.965578,(07) 4627 4222,(07) 4627 5174,,8:00,12:00,8:00,12:00,,,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
* practical driving testing for all licence classes up to heavy rigid",,,,,,,Queensland Police Station,,w,,/transport/contacts/centres/view?title=Wandoan Police Station
Wandoan QGAP,11 Lawton Street:registration,registration,,11 Lawton Street,Wandoan,4419,,c/- Post Office,Wandoan,4419,-26.121055,149.960993,(07) 4627 5400,(07) 4627 5400,,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels",,,  In Australia Post office building,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,w,,/transport/contacts/centres/view?title=Wandoan QGAP
Warwick Transport and Main Roads Customer Service Centre,"51 Victoria St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,51 Victoria Street,Warwick,4370,,PO Box 204,Warwick,4370,-28.209894,152.03562,13 23 80,(07) 4661 5796,,8:30,16:00,8:30,16:00,9:30,16:00,8:30,16:00,8:30,16:00,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicles 
*  practical driver testing for all licence classes (except motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,w,,/transport/contacts/centres/view?title=Warwick Transport and Main Roads Customer Service Centre
Warwick Motor Vehicle Inspection Centre,"1 Parker St Services: vehicle safety inspections,taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",,1 Parker Street,Warwick,4370,,PO Box 645,Toowoomba,4350,-28.210708,151.997924,13 23 90,(07) 4635 5373,,,,,,,,,,,,,,,,,"####Services offered at this location#### 
* pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass ","####Services not offered at this location####
* safety inspections for light vehicles and heavy vehicles up to 16 tonne GVM - these are performed by Approved Inspection Centres ",,,,Opening hours by appointment only.,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Motor Vehicle Inspection Centre,,w,,/transport/contacts/centres/view?title=Warwick Motor Vehicle Inspection Centre
Weipa QGAP,"1 Central Avenue:registration, industry licensing","registration, industry licensing",Weipa Courthouse,"Memorial Square, Central Avenue",Rocky Point,4874,,PO Box 109,Weipa,4874,-12.625723,141.880263,(07) 4069 9999,(07) 4069 9160,,8:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,8:30-12:30,13:30-16:30,,,,,,"####Services offered at this location#### 
* driver licensing
* registration of vehicles and vessels
*  industry licensing services ",,," Within Memorial Square, opposite Western Cape College ",,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,w,,/transport/contacts/centres/view?title=Weipa QGAP
Windorah QGAP," Victoria Street:registration, practical driver tests","registration, practical driver tests",Windorah Police Station,Victoria Street,Windorah,4481,, Victoria Street,Windorah,4481,-25.42168,142.656717,(07) 4656 3171,(07) 4656 3172,,,14:00-17:00,,12:30-17:00,8:00-11:30,,,13:30-16:00,,13:30-16:00,,,,,,"####Services offered at this location#### 
* driver licensing
*  practical driver testing for all licence classes
*  registration of vehicles and vessels","####Services not offered at this location#### 
* Practical driving tests are for Windorah Division only ", Practical driving tests are for Windorah Division residents only.,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** no,QGAP (Other Agency),,w,,/transport/contacts/centres/view?title=Windorah QGAP
Winton QGAP,"Winton Court House Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests, QGAP",Winton Court House,59 Vindex Street,Winton,4735,,PO Box 427,Winton,4735,-22.388826,143.038759,13 74 68 or 13 23 90 (for practical driving test bookings),(07) 4657 1583,,8:30-12:00,13:00-16:30,8:30-12:00,13:00-16:30,8:30-12:00,13:00-16:30,8:30-12:00,13:00-16:30,8:30-12:00,13:00-16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicles in fine weather only
*  practical driver testing for all licence classes",,,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (TMR lead),17/07/2018,w,,/transport/contacts/centres/view?title=Winton Queensland Government Agent Program Office
Wondai Police Station,Bramston and Baynes Streets:driver licence,driver licence,,Bramston and Baynes Streets,Wondai,4606,,PO Box 47,Wondai,4606,-26.319364,151.876749,(07) 4168 5211,(07) 4168 5200,,9:00,14:00,9:00,14:00,9:00,14:00,,,,,,,,,,"####Services offered at this location#### 
* driver licensing","####Services not offered at this location#### 
*Overseas Licences 
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,, This location is only open every second Wednesday.,,Queensland Police Station,,w,,/transport/contacts/centres/view?title=Wondai Police Station
Woorabinda Police Station,"25 Munns Drive:driver licence, registration, practical driver tests","driver licence, registration, practical driver tests",,25 Munns Drive,Woorabinda,4713,,25 Munns Drive,Woorabinda,4713,-24.129942,149.455982,(07) 4913 2333,(07) 4935 0181,,,,8:00,16:00,8:00,16:00,8:00,16:00,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  practical driver testing for licence classes up to medium rigid
*  registration of vehicles and vessels",,,,,,,Queensland Police Station,,w,,/transport/contacts/centres/view?title=Woorabinda Police Station
Wyandra Police Station,"Railway St, Wyandra",,,Railway St,Wyandra,4489,,Railway St,Wyandra,4489,-27.2481418,145.9785165,(07) 4654 0270,,,8:00,16:00,8:00,16:00,8:00,16:00,8:00,16:00,8:00,16:00,,,,,,"####Services offered at this location####
* Registration",,,,,Please call to arrange an appointment,,,,w,,/transport/contacts/centres/view?title=Wyandra Police Station
Wynnum Transport and Main Roads Customer Service Centre,"139 Tingal Rd Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,139 Tingal Road,Wynnum,4178,,PO Box 554,Wynnum Central,4178,-27.444986,153.171006,13 23 80,(07) 3893 2305,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass and in fine weather only 
*  practical driver testing for all licence classes (light and up to and including heavy rigid vehicles) except motorcycles","####Services not offered at this location#### 
* pre-registration inspections for trailers 
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,w,,/transport/contacts/centres/view?title=Wynnum Transport and Main Roads Customer Service Centre
Yaraka Police Station,"Quilp Street:registration, transfer, pre-registration inspections, practical driver tests","registration, transfer, pre-registration inspections, practical driver tests",,Quilp Street,Yaraka,4702,,Quilp Street,Yaraka,4702,-24.886106,144.07402,(07) 4657 5525,(07) 4657 5585,,9:00-12:00,,,,9:00-12:00,,,,9:00-12:00,,,,,,,"####Services offered at this location#### 
*  registration of vehicles and vessels
*  pre-registration vehicle inspections for all vehicles
*  practical driver testing for all licence classes",,,,,,,Queensland Police Station,,y,,/transport/contacts/centres/view?title=Yaraka Police Station
Yarrabah QGAP,"56 Sawmill Road:registration, transfer","registration, transfer",,56 Sawmill Road,Yarrabah,4871,,c/- Post Office,Yarrabah,4871,-16.906604,145.865744,(07) 4056 9037,(07) 4056 0759,,9:00-12:00,13:00-16:00,9:00-12:00,13:00-16:00,9:00-12:00,13:00-16:00,9:00-12:00,13:00-16:00,,,,,,,,"####Services offered at this location#### 
*  registration of vehicles and vessels",,, Opposite the Bishop Malcolm Park and behind the Yarrabah Store,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,y,,/transport/contacts/centres/view?title=Yarrabah QGAP
